Заголовок,Краткий текст,Класс,Уверенность,Причина
Фармкомпания «ВЕРТЕКС» промаркировала 570 млн упаковок продукции за пять лет,"Фото: ktsdesign/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shut...",Здравоохранение и экспертные мнения,0.5713,—
Черный список для маркетплейсов: создание реестра остановит опасные медтовары,"Фото: olesia_g/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5463,—
"Специалист дал советы о том, как спастись от аллергической бури","Фото: Elizaveta Galitckaia/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/F...",Здравоохранение и экспертные мнения,0.6065,—
Инъекционная форма препарата Leqembi от Eisai и Biogen одобрена FDA,"Фото: sdecoret/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5183,—
В Нью-Йорке подтвержден первый незавозной случай лихорадки чикунгунья,"Фото: Anton Watman/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5222,—
AI‑помощник от Сбера поможет пациентам получать расшифровку лабораторных анализов,"Фото: raker/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",—,0.4365,Низкая уверенность модели
Суданский штамм вируса Эбола может сохраняться в организме несколько месяцев,"Фото: Crevis/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",—,0.4307,Низкая уверенность модели
Энхерту от AstraZeneca эффективен при лечении рака молочной железы ранней стадии,"Фото: Akadet Guy/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.532,—
В городе Газа официально объявлено состояние катастрофического голода,"Фото: Anas-Mohammed/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5558,—
MSD ликвидирует исследовательский центр в Лондоне,"Фото: Gorodenkoff/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5202,—
AstraZeneca приостановила инвестиционный проект в Великобритании,"Фото: LADYMAYPIX/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5238,—
Препарат от Cytokinetics по эффективности превзошел стандарт лечения метопролол,"Фото: rsooll/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5064,—
В России стартовали поставки первого отечественного биоаналога для лечения слепоты из перечня ЖНВЛП,"Фото: ozrimoz/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5067,—
Ученые предупреждают о рисках набирающей популярность улиточной терапии,"Фото: Kat Ka/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5196,—
Novo Nordisk уступает позиции на рынке своему конкуренту Eli Lilly,"Фото: Sergey Nivens/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5579,—
ПРОМОМЕД выпустил препарат для борьбы с различными видами боли,"Фото: pathdoc/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5265,—
Ежегодный фармацевтический интернациональный лагерь инноваций ФИЛИН-2025,"Фото: adriaticfoto/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.554,—
Нижняя палата парламента Уругвая приняла законопроект об эвтаназии,"Фото: Stokkete/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5242,—
"Новинки в медицинских изданиях в сфере фармации, фармацевтики и здравоохранения","Читайте обновленный мастер-класс, успешно используйте полученные знания на практике и делитесь своими впечатлениями – мы, как и всегда, будем рады обратной связи! Рекомендации для врачей по ведению па...",Фармацевтика,0.7973,—
Обинутузумаб в России теперь может применяться для лечения волчаночного нефрита,"Фото: crystal light/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5095,—
В США возобновляет работу группа по обеспечению безопасности вакцин для детей,"Фото: Yuriy Golub/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5479,—
В России начали внедрять сервис подписания согласий на участие в КИ в приложении,"Фото: thanmano/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.4891,—
Курение электронных сигарет вызывает повреждение эндотелия легочных сосудов,"Фото: Yta23/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",Здравоохранение и экспертные мнения,0.506,—
БИОТ 2025: праздник безопасности длиной в год,"Фото: Andrey Suslov/FOTODOM/Shutterstock 11-14 ноября 2025 годав московском «Крокус Экспо» проходило главное событие отрасли, объединяющее государство, бизнес и экспертное сообщество вокруг вопросов б...",—,0.2865,Низкая уверенность модели
Ученые доказали: осознанность и самосострадание помогают бороться с депрессией,"Фото: Jorm Sangsorn/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5591,—
Рост выручки ПРОМОМЕД составил 82%,"Фото: Jirsak/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5184,—
Пожилые люди с плохим самочувствием могут восстановить здоровье за три года,"Фото: Lordn/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",Здравоохранение и экспертные мнения,0.4868,—
Разработан хирургический скальпель с датчиком для интраоперационной диагностики,"Фото: ravipat/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5136,—
"Ученые доказали, что языковые центры мозга начинают работать до рождения","Фото: Demkat/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.4889,—
"Россияне прошли испытание Адлером: ВСК выявил самый опасный летний курорт, больше всего проблем у отдыхающих — с ЖКТ","Фото: Orla/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutterst...",Здравоохранение и экспертные мнения,0.4577,—
"Специалист рассказал, какие анализы подтверждают употребление вейпов","Фото: Aleksandr Yu/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5546,—
